,Brand,Model,Type,Dimension (in),Screen Resolution,CPU Brand,CPU Model,CPU Frequency (GHz),GPU Brand,GPU Model,RAM (GB),HDD,SSD,OS,Weight (kg),Price (Euro)
179,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,2.05,880.0
180,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 520,8,False,True,Linux,2.14,735.07
181,Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,12,True,False,Windows,,713.07
182,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,True,True,Linux,2.8,1099.0
183,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX130,8,True,False,Windows,2.2,745.0
184,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,True,False,Windows,2.8,489.0
185,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,8,True,False,No OS,2.8,849.0
186,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,6,True,True,Windows,2.8,859.0
187,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,AMD,Radeon R5 M430,4,True,False,Linux,2.25,428.0
188,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,8,False,True,Windows,2.5,829.0
189,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,6,False,True,Windows,2.2,579.0
190,Acer,Aspire A517-51G,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,8,False,True,Windows,3.0,951.0
191,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,12,,False,Windows,2.15,659.0
192,Lenovo,Thinkpad T570,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 630,8,,True,Windows,1.95,1097.0
193,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,8,False,,Windows,1.7,977.0
194,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,16,True,True,Windows,2.5,1179.0
195,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,8,True,False,No OS,2.2,659.01
196,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,,False,Windows,,1187.0
197,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,8,True,False,Windows,2.54,489.0
198,Dell,XPS 15,Notebook,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,False,True,Windows,2.0,1829.0
199,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,False,True,Windows,2.05,739.0
200,Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,8,True,False,Windows,3.2,1299.0
201,Acer,Aspire A715-71G,Notebook,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,8,False,True,Linux,2.5,979.0
202,Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,16,False,True,Windows,1.63,1468.0
203,Asus,VivoBook S14,Notebook,14.0,1366x768,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,4,False,True,Windows,1.3,509.0
204,Asus,Rog GL702VS-GC095T,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1070,16,True,True,Windows,2.9,2122.0
205,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,Nvidia,GeForce GTX 940M,6,True,,Windows,2.8,649.0
206,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,8,True,False,No OS,2.2,549.0
207,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,8,True,True,Windows,,1265.0
208,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,8,,True,Windows,2.3,819.0
209,HP,250 G6,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,True,False,Windows,1.86,469.0
210,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,1.1,999.0
211,Dell,XPS 13,Ultrabook,13.3,3840x2160,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,16,False,True,Windows,1.21,2499.0
212,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 530,8,True,True,Windows,,844.0
213,HP,ProBook 640,Notebook,14.0,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,1.95,980.0
214,HP,Elitebook 840,Notebook,14.0,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,,1292.0
215,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,Nvidia,GeForce 920MX,4,,False,Windows,,589.0
216,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,2.0,1094.0
217,HP,ProBook 450,Notebook,15.6,1366x768,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,True,False,Windows,2.1,902.0
218,Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,6,True,False,Windows,2.23,549.0
219,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,8,False,True,Windows,1.7,1049.9
220,HP,Elitebook 820,Ultrabook,12.5,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,1.26,1335.0
221,Dell,XPS 15,Notebook,15.6,3840x2160,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,32,False,True,Windows,2.06,2639.0
222,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,True,True,Windows,2.0,1334.0
223,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,True,False,Windows,,449.0
224,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,False,True,Windows,2.5,999.0
225,HP,EliteBook 840,Notebook,14.0,1920x1080,Intel,Core i5 7300U,2.6,Intel,HD Graphics 620,8,False,True,Windows,,1268.0
226,Dell,Inspiron 7570,Ultrabook,15.6,1920x1080,Intel,Core i5 8250U,1.6,Nvidia,GeForce 940MX,8,True,True,Windows,1.9,1049.0
227,HP,Elitebook 850,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,,1144.0
228,Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,Nvidia,GeForce 940MX,8,False,True,Windows,2.0,1142.75
229,HP,ProBook 450,Notebook,15.6,1920x1080,Intel,Core i3 7100U,2.4,Nvidia,GeForce 930MX,8,True,False,Windows,2.1,716.0
230,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,1.2,1579.0
231,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,16,True,True,Windows,2.4,1129.0
232,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel,Core i7 8650U,1.9,Intel,UHD Graphics 620,16,,True,Windows,,1607.96
233,Dell,Inspiron 5570,Ultrabook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 530,8,True,False,Windows,1.9,663.0
234,Dell,XPS 15,Notebook,15.6,3840x2160,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,16,False,True,Windows,,2027.42
235,HP,Elitebook 850,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,1.84,1304.0
236,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,True,,Windows,2.02,970.9
237,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,8,True,False,Windows,2.65,999.0
238,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,True,False,Windows,,557.37
239,Dell,Latitude 7480,Notebook,14.0,1920x1080,Intel,Core i5 7300U,2.6,Intel,HD Graphics 620,8,False,True,Windows,1.36,1427.0
240,HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,True,False,Windows,1.86,439.0
241,Asus,Zenbook UX410UA-GV027T,Notebook,14.0,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,2.0,945.0
242,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,Nvidia,GeForce GTX 940MX,6,True,True,Windows,2.8,719.0
243,HP,250 G6,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,True,False,Windows,1.86,639.0
244,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,Nvidia,GeForce 920MX,8,False,True,No OS,2.2,499.0
245,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 530,8,True,True,Windows,2.8,1085.0
246,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,8,True,True,No OS,2.4,809.0
247,Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,AMD,Radeon R7 M445,8,False,True,Windows,2.33,899.0
248,HP,Elitebook 1040,Ultrabook,14.0,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,,1750.0
249,Acer,Aspire 7,Notebook,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,True,False,Linux,2.4,846.0
250,HP,Omen 17-w212nv,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,True,True,Windows,3.35,1191.0
251,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,False,,No OS,1.85,403.5
252,Asus,ROG Strix,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,8,True,True,Windows,2.3,1655.0
253,Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,8,False,True,Windows,1.5,1099.0
254,Asus,Zenbook Flip,Ultrabook,13.3,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,16,False,True,Windows,1.1,1748.9
255,Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,,2282.0
256,Lenovo,Ideapad 510S-13IKB,Notebook,13.3,1920x1080,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,4,False,,Windows,1.5,549.0
257,Asus,Rog GL753VD-GC042T,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,,False,Windows,,1039.0
258,Asus,Rog GL753VE-GC070T,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,16,True,True,Windows,3.0,1591.0
259,Acer,Aspire 5,Notebook,15.6,1366x768,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX130,12,True,False,Windows,2.2,693.99
260,Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,AMD,Radeon R7 M445,8,,True,Linux,2.33,778.87
261,Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon RX 550,8,False,True,Windows,2.1,1229.56
262,Lenovo,ThinkPad L470,Notebook,14.0,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,,Windows,1.9,938.0
263,Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,16,False,True,Windows,1.13,2625.0
264,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,16,,True,Windows,2.9,1529.0
265,Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon RX 550,8,True,True,Windows,2.1,1144.5
266,Acer,Aspire 7,Notebook,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,,,Linux,2.5,879.0
267,Asus,Zenbook 3,Ultrabook,14.0,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,,1873.0
268,Dell,Latitude 7480,Ultrabook,14.0,1920x1080,Intel,Core i7 7600U,2.8,Intel,HD Graphics,8,False,True,Windows,1.36,1680.0
269,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,True,False,Windows,2.2,409.0
270,Lenovo,Thinkpad T470p,Ultrabook,14.0,2560x1440,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GT 940MX,8,False,True,Windows,1.7,1943.0
271,HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,AMD,Radeon 520,4,True,False,Windows,2.1,469.0
272,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,AMD,Radeon R5 M430,4,False,True,Linux,2.3,598.9
273,Dell,Latitude 3380,Notebook,13.3,1366x768,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,False,True,Windows,1.65,689.0
274,HP,EliteBook 1040,Ultrabook,14.0,1920x1080,Intel,Core i7 6500U,2.5,Intel,HD Graphics 520,8,False,True,Windows,1.43,1500.0
275,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,True,False,Windows,,539.95
276,Lenovo,ThinkPad E480,Ultrabook,14.0,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon RX 550,8,False,True,Windows,1.75,1215.38
277,HP,ProBook 650,Notebook,15.6,1920x1080,Intel,Core i7 7820HQ,2.9,Intel,HD Graphics 630,8,False,True,Windows,2.31,1427.0
278,Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,1920x1080,Intel,Core i3 7100U,2.4,Nvidia,GeForce 940MX,8,True,False,Linux,2.3,597.0
279,Dell,Alienware 17,Gaming,17.3,2560x1440,Intel,Core i7 7820HK,2.9,Nvidia,GeForce GTX 1070,16,True,True,Windows,4.42,2799.0
280,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,8,True,True,Windows,2.62,1159.0
281,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,True,True,Windows,2.02,1142.4
282,Dell,Latitude 5480,Ultrabook,14.0,1920x1080,Intel,Core i7 7600U,2.8,Intel,HD Graphics 620,8,False,,Linux,1.6,1099.0
283,HP,Omen 17-w207nv,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1070,12,True,True,Windows,3.35,1999.0
284,Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,1.4,1010.0
285,Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,1920x1080,Intel,Core i3 7130U,2.7,Intel,HD Graphics 620,4,False,True,Windows,,599.0
286,Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel,Core i7 7820HQ,2.9,Nvidia,Quadro M2200M,16,False,True,Windows,2.5,2449.0
287,Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,24,,True,Windows,1.32,2382.0
288,Asus,VivoBook Max,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,4,False,,Linux,2.0,559.0
289,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 530,4,False,True,Windows,2.2,749.0
290,Lenovo,ThinkPad X270,Ultrabook,12.5,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,1.36,1429.0
291,HP,Omen 15-AX205na,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,True,True,Windows,2.2,1099.0
292,Dell,Latitude 5480,Notebook,14.0,1920x1080,Intel,Core i5 7440HQ,2.8,Nvidia,GeForce 930MX,8,False,True,Windows,1.64,1179.0
293,Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,4,True,False,Linux,2.4,441.8
294,HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,,True,Windows,1.91,589.0
295,Lenovo,ThinkPad T470,Notebook,14.0,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,1.65,1345.0
296,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,True,True,Windows,2.36,979.0
297,Dell,Alienware 17,Notebook,17.3,1920x1080,Intel,Core i7 7700HQ,2.7,Nvidia,GeForce GTX 1060,8,True,False,Windows,4.42,2046.0
298,HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,17.3,1600x900,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,8,False,True,Windows,2.5,639.9
299,Acer,Aspire E5-576G,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,Nvidia,GeForce 940MX,4,True,False,Windows,2.23,544.0
300,Asus,Pro P2540UA-AB51,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,True,False,Windows,2.37,749.0
301,Lenovo,IdeaPad 510s-14IKB,Notebook,14.0,1920x1080,Intel,Core i7 7500U,2.7,AMD,Radeon R7 M460,8,False,,No OS,1.5,799.0
302,Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel,Core i7 7820HQ,2.9,Nvidia,Quadro M2200M,8,False,True,Windows,2.67,2090.0
303,Acer,Aspire 5,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,Nvidia,GeForce GTX 940MX,4,,,Windows,2.2,469.0
304,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 530,8,True,False,Windows,2.02,759.0
305,HP,Omen 17-an006nv,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,12,True,False,Windows,3.78,1699.0
306,Lenovo,Thinkpad T460s,Ultrabook,14.0,2560x1440,Intel,Core i7 6600U,2.6,Intel,HD Graphics 520,12,False,,Windows,1.4,1858.0
307,HP,ZBook 15u,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,AMD,FirePro W4190M,8,True,False,Windows,1.9,1154.0
308,Dell,Latitude 7390,Ultrabook,13.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,False,True,Windows,1.42,1841.85
309,Asus,ZenBook Pro,Notebook,15.6,3840x2160,Intel,Core i7 6700HQ,2.6,Intel,HD Graphics 530,12,True,True,Windows,2.06,1299.0
310,Dell,Latitude E5470,Notebook,14.0,1366x768,Intel,Core i3 6100U,2.3,Intel,HD Graphics 520,8,False,True,Windows,1.79,740.0
311,Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,1.7,1364.0
312,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 520,8,True,False,Windows,2.2,675.0
313,Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 940MX,8,False,True,Windows,2.16,1262.0
314,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,4,True,False,Windows,2.18,586.6
315,HP,ProBook 430,Notebook,13.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,4,False,True,Windows,1.49,726.0
316,Lenovo,ThinkPad E570,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,False,True,Windows,2.3,565.0
317,Lenovo,ThinkPad E480,Notebook,14.0,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,False,,Windows,1.75,1049.0
318,Dell,XPS 15,Notebook,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,16,,True,Windows,2.06,1899.0
319,Lenovo,Thinkpad X270,Ultrabook,12.5,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,16,,True,Windows,,1798.0
320,Asus,Zenbook UX390UA,Ultrabook,12.5,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,16,False,True,Windows,0.91,1950.0
321,Lenovo,Thinkpad E570,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,8,False,True,Windows,2.3,1011.99
322,Asus,VivoBook Pro,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,True,,Windows,1.99,1350.0
323,Asus,Rog G752VL-UH71T,Gaming,17.3,1920x1080,Intel,Core i7 6700HQ,2.6,Nvidia,GeForce GTX 965M,24,True,True,Windows,4.33,1269.0
324,Lenovo,Thinkpad X260,Ultrabook,12.5,1366x768,Intel,Core i5 6200U,2.3,Intel,HD Graphics 520,8,False,True,Windows,1.3,1099.0
325,Lenovo,Ideapad 520-15IKBR,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,2.17,898.9
326,HP,EliteBook 840,Notebook,14.0,1920x1080,Intel,Core i7 7600U,2.8,Intel,HD Graphics 620,8,False,True,Windows,1.48,1749.0
327,Lenovo,ThinkPad 13,Notebook,13.3,1920x1080,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,8,False,True,Windows,1.4,949.0
328,Lenovo,ThinkPad L570,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,,True,Windows,2.3,911.0
329,HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,AMD,Radeon 520,8,False,True,Windows,1.91,618.99
330,Lenovo,ThinkPad 13,Notebook,13.3,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,1.44,949.0
331,Asus,ZenBook UX510UX-CN211T,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,True,True,Windows,2.0,1224.0
332,Acer,Aspire A515-51G-59QF,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX150,4,,False,Windows,,613.0
333,HP,Envy 13-AB002nv,Ultrabook,13.3,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,1.34,1323.0
334,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,8,True,True,No OS,2.4,1149.0
335,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,,Windows,1.29,899.0
336,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,4,True,False,Windows,,639.0
337,Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,True,False,Windows,2.18,836.0
338,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,16,True,True,Windows,2.2,1219.24
339,HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,15.6,1366x768,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,4,True,False,Windows,2.04,521.47
340,Asus,ROG Zephyrus,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX1080,24,,True,Windows,2.24,2968.0
341,HP,Probook 450,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 930MX,8,False,True,Windows,2.04,889.0
342,Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX1050 Ti,16,True,True,Windows,3.0,1504.0
343,Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,8,True,True,Windows,3.2,1399.0
344,HP,Spectre X360,Ultrabook,13.3,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,1.32,1399.0
345,Dell,Latitude 5480,Notebook,14.0,1920x1080,Intel,Core i5 7300U,2.6,Intel,HD Graphics 620,8,False,True,Windows,1.64,1279.73
