,Brand,Model,Type,Dimension (in),Screen Resolution,CPU Brand,CPU Model,CPU Frequency (GHz),GPU Brand,GPU Model,RAM (GB),HDD,SSD,OS,Weight (kg),Price (Euro)
79,Asus,VivoBook S15,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 940MX,8,False,True,Windows,1.7,1118.0
80,Acer,Spin 3,Notebook,15.6,1920x1080,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,6,True,False,Windows,,479.0
81,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,8,False,True,No OS,,629.0
82,HP,Probook 470,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 930MX,16,False,True,Windows,2.5,1271.0
83,HP,Probook 440,Notebook,14.0,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,True,False,Windows,1.63,812.0
84,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,16,True,True,Windows,2.8,1396.0
85,HP,ProBook 470,Notebook,17.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,,True,Windows,,928.0
86,Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,AMD,Radeon R7 M445,8,True,False,Windows,2.36,638.99
87,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,AMD,Radeon R5 M430,4,True,False,Windows,2.2,449.0
88,Acer,Swift 3,Ultrabook,14.0,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,1.6,884.0
89,Acer,Aspire A515-51G-37JS,Notebook,15.6,1920x1080,Intel,Core i3 7130U,2.7,Nvidia,GeForce MX130,4,False,True,Windows,,572.0
90,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,True,False,Windows,2.05,598.0
91,HP,Probook 440,Notebook,14.0,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,1.63,988.0
92,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,1920x1080,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,8,True,True,Windows,3.0,938.0
93,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 920MX,4,,False,No OS,2.2,499.0
94,HP,Envy 13-AD007nv,Notebook,13.3,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,4,False,True,Windows,1.32,699.0
95,Acer,Aspire 5,Notebook,17.3,1920x1080,Intel,Core i3 7130U,2.7,Nvidia,GeForce MX130,4,,False,Windows,3.0,655.0
96,Lenovo,ThinkPad E480,Notebook,14.0,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon RX 550,8,False,True,Windows,1.75,1116.02
97,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050M,8,,True,No OS,2.4,869.0
98,Asus,ZenBook UX430UA,Ultrabook,14.0,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,1.25,1099.0
99,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,True,False,Windows,,447.0
100,Dell,Inspiron 5577,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,16,,True,Windows,2.56,1249.26
101,Dell,Inspiron 7567,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,True,True,Windows,2.62,899.0
102,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,4,False,True,Windows,,498.0
103,HP,EliteBook 840,Ultrabook,14.0,1920x1080,Intel,Core i5 7500U,2.7,Intel,HD Graphics 620,4,False,True,Windows,1.48,1082.0
104,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 520,6,False,True,Windows,1.91,619.0
105,Acer,Aspire A517-51G,Notebook,17.3,1920x1080,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX150,4,False,True,Windows,3.0,805.0
